font	available	source	ligature	link
Inconsolata	Y	Google	N	https://fonts.google.com/specimen/Inconsolata
Roboto Mono	Y	Google	N	https://fonts.google.com/specimen/Roboto+Mono
Source Code Pro	Y	Google	N	https://fonts.google.com/specimen/Source+Code+Pro
IBM Plex Mono	Y	Google	N	https://fonts.google.com/specimen/IBM+Plex+Mono
JetBrains Mono	Y	Google	Y	https://fonts.google.com/specimen/JetBrains+Mono
Fira Mono	Y	Google	N	https://fonts.google.com/specimen/Fira+Mono
Oxygen Mono	Y	Google	N	https://fonts.google.com/specimen/Oxygen+Mono
Victor Mono	Y	Google	Y	https://fonts.google.com/specimen/Victor+Mono
Space Mono	Y	Google	N	https://fonts.google.com/specimen/Space+Mono
PT Mono	Y	Google	N	https://fonts.google.com/specimen/PT+Mono
Noto Sans Mono	Y	Google	N	https://fonts.google.com/noto/specimen/Noto+Sans+Mono
Spline Sans Mono	Y	Google	N	https://fonts.google.com/specimen/Spline+Sans+Mono
Fantasque Sans Mono	Y	FontSquirrel	Y	https://www.fontsquirrel.com/fonts/fantasque-sans-mono
Fira Code	Y	Google	Y	https://fonts.google.com/specimen/Fira+Code
Hack	Y	FontSquirrel	N	https://www.fontsquirrel.com/fonts/hack
Liberation Mono	Y	FontSquirrel	N	https://www.fontsquirrel.com/fonts/liberation-mono
Meslo	Y	Github	N	https://github.com/andreberg/Meslo-Font
Dank Mono	Y	Paid	Y	https://philpl.gumroad.com/l/dank-mono
Hasklig	Y	Github	Y	https://github.com/i-tu/Hasklig
Ubuntu Mono	Y	Google	N	https://fonts.google.com/specimen/Ubuntu+Mono
Cascadia Mono	Y	FontSquirrel	N	https://www.fontsquirrel.com/fonts/cascadia-code
SF Mono	Y	Github	N	https://www.cufonfonts.com/font/sf-mono
